ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
3450291,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,12,New Quay,66
3450292,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,11,Waterfront City,24
3450293,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,8,Webb Bridge,34
3450294,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,7,Birrarung Marr,4
3450295,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,5,Princes Bridge,479
3450296,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,6,Flinders Street Station Underpass,417
3450297,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,14,Sandridge Bridge,180
3450298,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,26,QV Market-Elizabeth St (West),116
3450299,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,24,Spencer St-Collins St (North),153
3450300,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,23,Spencer St-Collins St (South),51
3450303,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,20,Chinatown-Lt Bourke St (South),193
3450304,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,19,Chinatown-Swanston St (North),189
3450305,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,22,Flinders St-Elizabeth St (East),488
3450306,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,27,QV Market-Peel St,47
3450307,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,28,The Arts Centre,120
3450308,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,31,Lygon St (West),145
3450309,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,30,Lonsdale St (South),224
3450310,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,34,Flinders St-Spark La,16
3450311,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,39,Alfred Place,19
3450312,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,37,Lygon St (East),63
3450313,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,40,Lonsdale St-Spring St (West),46
3450314,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,36,Queen St (West),51
3450315,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,29,St Kilda Rd-Alexandra Gardens,0
3450316,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,42,Grattan St-Swanston St (West),25
3450317,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,43,Monash Rd-Swanston St (West),6
3450318,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,44,Tin Alley-Swanston St (West),9
3450319,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,35,Southbank,279
3450320,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,45,Little Collins St-Swanston St (East),170
3450321,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,41,Flinders La-Swanston St (West),492
3450322,12/10/2020 11:00:00 PM,2020,December,10,Thursday,23,46,Pelham St (S),8
